,Название,Год,Топливо,Объем двигателя,Мощность,Коробка передач,Привод,Цвет,Пробег,Руль,Оценка Drom,Цена
2105,Kia Carnival,2020,дизель,2.2,199.0,АКПП,передний,белый,25382.0,левый,8.6,4450000
2106,Toyota Vellfire,2018,бензин,3.5,301.0,АКПП,передний,черный,995.0,правый,,5650000
2107,Hyundai Staria,2023,дизель,2.2,177.0,АКПП,4WD,белый,,левый,,6600000
2108,Ford Escape,2020,бензин,1.5,181.0,АКПП,передний,бордовый,11600.0,левый,8.3,2150000
2109,Hyundai Staria,2023,дизель,2.2,177.0,АКПП,4WD,черный,,левый,,6600000
2110,Bentley Continental GT,2014,бензин,6.0,575.0,АКПП,4WD,синий,52200.0,левый,,5300000
2111,Kia Carnival,2019,дизель,2.2,202.0,АКПП,передний,белый,59000.0,левый,8.6,3530000
2112,Mercedes-Benz GL-Class,2015,бензин,3.0,333.0,АКПП,4WD,черный,110000.0,левый,,3100000
2113,Kia Optima,2018,бензин,2.0,150.0,АКПП,передний,белый,150000.0,левый,,1830000
2114,Subaru Outback,2016,бензин,2.5,175.0,вариатор,4WD,серый,123986.0,левый,8.9,1800000
2115,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,серый,16100.0,левый,8.6,3290000
2116,BMW X6,2020,бензин,4.4,625.0,АКПП,4WD,синий,56000.0,левый,,12000000
2117,Mercedes-Benz CL-Class,2010,бензин,4.7,435.0,АКПП,задний,черный,165000.0,левый,,2000000
2118,Mercedes-Benz S-Class,2022,бензин,3.0,435.0,АКПП,4WD,белый,50.0,левый,,17190000
2119,Toyota Camry,2022,бензин,2.5,176.0,автомат,передний,серебристый,40.0,левый,8.8,4050000
2120,Porsche Macan,2014,бензин,3.0,340.0,робот,4WD,белый,89000.0,левый,,3149000
2121,BMW 3-Series,2019,бензин,2.0,184.0,АКПП,задний,белый,64000.0,левый,8.8,3190000
2122,Mercedes-Benz S-Class,2017,бензин,3.0,367.0,АКПП,задний,белый,35600.0,левый,,5990000
2123,Lexus RX300,2020,бензин,2.0,238.0,АКПП,4WD,серый,36220.0,левый,8.9,6100000
2124,Land Rover Range Rover Sport,2019,дизель,3.0,249.0,АКПП,4WD,,65000.0,левый,,6350000
2125,Лада Нива Легенд,2023,бензин,1.7,83.0,механика,4WD,зеленый,,левый,,821900
2126,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2127,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2128,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2129,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,866900
2130,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2131,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,зеленый,,левый,,1143900
2132,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,зеленый,,левый,,1254900
2133,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2134,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,816900
2135,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2136,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2137,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,816900
2138,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2139,Лада Нива Легенд,2022,бензин,1.7,83.0,механика,4WD,белый,,левый,,872900
2140,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,846900
2141,Лада Нива Легенд,2022,бензин,1.7,83.0,механика,4WD,белый,,левый,,872900
2142,Лада Нива Легенд,2022,бензин,1.7,83.0,механика,4WD,белый,,левый,,872900
2143,Лада Нива Легенд,2022,бензин,1.7,83.0,механика,4WD,белый,,левый,,872900
2144,Лада Нива Легенд,2022,бензин,1.7,83.0,механика,4WD,белый,,левый,,872900
2145,Лада Нива Легенд,2022,бензин,1.7,83.0,механика,4WD,белый,,левый,,872900
2146,Лада Нива Легенд,2022,бензин,1.7,83.0,механика,4WD,белый,,левый,,872900
2147,Лада Нива Легенд,2022,бензин,1.7,83.0,механика,4WD,белый,,левый,,872900
2148,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,786900
2149,Лада Нива Легенд,2022,бензин,1.7,83.0,механика,4WD,белый,,левый,,872900
2150,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,786900
2151,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,786900
2152,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,786900
2153,Volkswagen Touareg,2009,дизель,2.5,174.0,АКПП,4WD,черный,310500.0,левый,,991000
2154,Mitsubishi Outlander,2013,бензин,2.4,167.0,вариатор,4WD,черный,78313.0,левый,8.8,1798000
2155,Лада Веста,2018,бензин,1.6,106.0,механика,передний,белый,68588.0,левый,8.7,1121000
2156,Peugeot 207,2008,бензин,1.4,88.0,робот,передний,черный,219150.0,левый,8.4,340000
2157,Лада 4x4 2121 Нива,1998,бензин,1.7,79.0,механика,4WD,бежевый,119397.0,левый,,225000
2158,Kia Mohave,2022,дизель,3.0,257.0,автомат,4WD,черный,114.0,левый,8.8,6249900
2159,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,,,левый,,2889900
2160,Mercedes-Benz S-Class,2022,бензин,4.0,503.0,АКПП,4WD,черный,2200.0,левый,,22800000
2161,Jeep Cherokee,2017,бензин,2.4,177.0,АКПП,4WD,белый,127000.0,левый,8.4,1900000
2162,Daewoo Nexia,2008,бензин,1.5,75.0,механика,передний,серебристый,221102.0,левый,7.5,90000
2163,Infiniti QX50,2020,бензин,2.0,249.0,вариатор,4WD,белый,10263.0,левый,,4606000
2164,Infiniti QX80,2021,бензин,5.6,405.0,АКПП,4WD,белый,9494.0,левый,,10693000
2165,Toyota Land Cruiser Prado,2020,дизель,2.8,200.0,АКПП,4WD,белый,69900.0,левый,,5980000
2166,Kia Cerato,2022,бензин,2.0,150.0,АКПП,передний,серый,4000.0,левый,8.8,2500000
2167,Mitsubishi Lancer,2005,бензин,1.6,98.0,механика,передний,,211000.0,левый,8.4,380000
2168,Hyundai Getz,2010,бензин,1.4,97.0,АКПП,передний,голубой,177489.0,левый,8.3,610000
2169,BMW X3,2014,дизель,2.0,184.0,АКПП,4WD,черный,151771.0,левый,,1795000
2170,Mercedes-Benz CLA-Class,2015,бензин,1.6,156.0,робот,передний,красный,144202.0,левый,,1575000
2171,Volkswagen Tiguan,2019,бензин,1.4,150.0,робот,4WD,серебристый,70864.0,левый,,2620000
2172,BMW 5-Series,2019,дизель,3.0,249.0,АКПП,4WD,белый,44785.0,левый,8.9,4695000
2173,Ford F150,2020,бензин,3.5,450.0,АКПП,4WD,белый,12000.0,левый,8.7,10000000
2174,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2175,Лада Нива Легенд,2023,бензин,1.7,83.0,механика,4WD,коричневый,,левый,,821900
2176,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2177,Лада Нива Легенд,2023,бензин,1.7,83.0,механика,4WD,белый,,левый,,872900
2178,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2179,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,816900
2180,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2181,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2182,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2183,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2184,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2185,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2186,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2187,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2188,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2189,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2190,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2191,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2192,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2193,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2194,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2195,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2196,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2197,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2198,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2199,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2200,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2201,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2202,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,846900
2203,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,816900
2204,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,816900
2205,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2206,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,816900
2207,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2208,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2209,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2210,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2211,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2212,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2213,GMC Yukon,2022,бензин,5.3,355.0,АКПП,4WD,черный,,левый,8.6,8800000
2214,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2215,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2216,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2217,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2218,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2219,Voyah Free,2023,,1.5,693.0,автомат,4WD,черный,,левый,,7490000
2220,Voyah Free,2023,,1.5,693.0,автомат,4WD,черный,,левый,,7490000
2221,Voyah Free,2023,,1.5,693.0,автомат,4WD,черный,,левый,,7490000
2222,Voyah Free,2023,,1.5,693.0,автомат,4WD,синий,,левый,,7490000
2223,Voyah Free,2023,,1.5,693.0,автомат,4WD,синий,,левый,,7490000
2224,Voyah Free,2023,,1.5,693.0,автомат,4WD,синий,,левый,,7490000
2225,Voyah Free,2023,,1.5,693.0,автомат,4WD,синий,,левый,,7490000
2226,Voyah Free,2023,,1.5,693.0,автомат,4WD,синий,,левый,,7490000
2227,Voyah Free,2023,,1.5,693.0,автомат,4WD,синий,,левый,,7490000
2228,Voyah Free,2023,,1.5,693.0,автомат,4WD,синий,,левый,,7490000
2229,Skoda Octavia,2017,бензин,1.4,150.0,робот,передний,серебристый,144000.0,левый,8.8,1299000
2230,Audi A6,2014,бензин,2.0,180.0,вариатор,передний,черный,177000.0,левый,8.9,1299000
2231,Kia Soul,2014,бензин,1.6,129.0,АКПП,передний,красный,181000.0,левый,8.8,1120000
2232,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2233,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2234,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2235,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2236,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2237,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2238,Voyah Free,2023,,1.5,693.0,автомат,4WD,белый,,левый,,7490000
2239,Voyah Free,2023,,1.5,693.0,автомат,4WD,белый,,левый,,7490000
2240,Voyah Free,2023,,1.5,693.0,автомат,4WD,белый,,левый,,7490000
2241,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2242,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,черный,,левый,,1042900
2243,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2244,Voyah Free,2023,,1.5,693.0,автомат,4WD,синий,,левый,,7490000
2245,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,885900
2246,Voyah Free,2023,,1.5,693.0,автомат,4WD,синий,,левый,,7490000
2247,Voyah Free,2023,,1.5,693.0,автомат,4WD,синий,,левый,,7490000
2248,Лада Нива Легенд,2023,бензин,1.7,83.0,механика,4WD,зеленый,,левый,,821900
2249,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2250,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2251,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,786900
2252,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2253,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,868900
2254,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2255,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2256,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,786900
2257,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2258,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2259,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2260,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2261,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2262,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2263,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2264,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2265,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2266,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,зеленый,,левый,,1042900
2267,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2268,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2269,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2270,BMW 7-Series,2008,бензин,4.8,367.0,АКПП,задний,синий,179800.0,левый,,925000
2271,Voyah Free,2023,,1.5,693.0,автомат,4WD,серый,,левый,,7490000
2272,Voyah Free,2023,,1.5,693.0,автомат,4WD,голубой,,левый,,7490000
2273,Kia Sorento,2002,дизель,2.5,145.0,АКПП,4WD,серый,,левый,8.6,480000
2274,Voyah Dream,2022,,1.5,395.0,автомат,4WD,черный,,левый,,8290000
2275,Voyah Dream,2022,,1.5,395.0,автомат,4WD,черный,,левый,,8290000
2276,Voyah Dream,2022,,1.5,395.0,автомат,4WD,черный,,левый,,8290000
2277,Kia Sorento,2002,дизель,2.5,145.0,АКПП,4WD,,,левый,8.6,530000
2278,Nissan Leaf,2016,электро,,109.0,АКПП,передний,белый,64000.0,правый,,1019000
2279,Nissan Pathfinder,2007,дизель,2.5,174.0,АКПП,4WD,,,левый,8.6,900000
2280,Volvo V90,2019,дизель,2.0,190.0,автомат,передний,голубой,122000.0,левый,8.7,2890000
2281,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2282,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,786900
2283,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,846900
2284,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2285,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2286,Ford Focus,2010,дизель,2.0,110.0,механика,передний,,168000.0,левый,8.5,555000
2287,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,866900
2288,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2289,Лада 2114 Самара,2010,бензин,1.6,81.0,механика,передний,зеленый,175485.0,левый,7.9,185000
2290,Hyundai Getz,2008,бензин,1.6,106.0,АКПП,передний,черный,164800.0,левый,8.3,399000
2291,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,838900
2292,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2293,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2294,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,786900
2295,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,черный,,левый,8.1,816900
2296,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2297,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2298,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2299,Лада Ларгус,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.3,1100900
2300,Лада Ларгус,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.3,1100900
2301,Volkswagen Golf,2011,,1.6,,автомат,,серый,124021.0,левый,8.7,779000
2302,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2303,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2304,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,816900
2305,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,868900
2306,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2307,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,786900
2308,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,885900
2309,Skoda Octavia,2011,,1.4,,механика,,серый,238627.0,левый,8.8,649000
2310,Audi A3,2000,бензин,1.8,125.0,механика,передний,серебристый,293000.0,левый,,169000
2311,Daewoo Nubira,1998,бензин,2.0,133.0,АКПП,передний,красный,148000.0,левый,7.9,139000
2312,Land Rover Discovery,2019,дизель,3.0,249.0,АКПП,4WD,черный,111000.0,левый,8.9,4500000
2313,BMW 8-Series,2022,дизель,3.0,320.0,АКПП,4WD,черный,6800.0,левый,8.5,14600000
2314,Toyota Sienna,2016,бензин,3.5,266.0,АКПП,передний,серый,87000.0,левый,,2150000
2315,Toyota Land Cruiser Prado,2015,дизель,2.8,177.0,АКПП,4WD,белый,85000.0,левый,,3700000
2316,Nissan X-Trail,2022,бензин,2.5,171.0,вариатор,4WD,черный,1.0,левый,8.5,3300000
2317,Skoda Rapid,2015,бензин,1.6,110.0,автомат,,коричневый,204710.0,левый,,600000
2318,Nissan Sentra,2014,бензин,1.6,117.0,вариатор,передний,коричневый,72000.0,левый,8.8,950000
2319,Audi A3,2010,бензин,1.6,102.0,робот,передний,белый,76700.0,левый,,665000
2320,Лада Веста,2022,бензин,1.6,113.0,вариатор,передний,белый,691.0,левый,8.7,1750000
2321,Renault Sandero,2010,бензин,1.6,105.0,АКПП,передний,красный,163084.0,левый,8.2,468000
2322,Dodge Charger,2021,бензин,3.6,296.0,АКПП,задний,черный,12500.0,левый,8.4,2820000
2323,Volkswagen Passat,2020,бензин,2.0,190.0,робот,передний,черный,31000.0,левый,8.6,2550000
2324,Mazda Familia,2000,бензин,1.3,85.0,АКПП,передний,белый,260000.0,правый,7.8,160000
2325,Mazda Mazda6,2008,бензин,1.8,120.0,механика,передний,черный,172000.0,левый,8.9,500000
2326,SsangYong Actyon,2014,бензин,2.0,149.0,АКПП,4WD,красный,107271.0,левый,8.5,1345000
2327,BMW X6,2010,дизель,3.0,306.0,АКПП,4WD,бордовый,190000.0,левый,,1600000
2328,Volkswagen Polo,2022,бензин,1.6,110.0,АКПП,передний,черный,8000.0,левый,8.6,1950000
2329,Kia Sportage,2022,бензин,2.5,190.0,АКПП,4WD,белый,,левый,8.7,3759294
2330,Hyundai Solaris,2014,бензин,1.4,,,передний,серебристый,48950.0,левый,8.8,983000
2331,Skoda Superb,2016,бензин,2.0,280.0,робот,4WD,белый,158000.0,левый,,2293000
2332,Audi A4 allroad quattro,2016,бензин,2.0,249.0,робот,4WD,коричневый,82900.0,левый,8.9,2600000
2333,Toyota Prius,2016,бензин,1.8,98.0,вариатор,передний,белый,178000.0,правый,8.8,1350000
2334,Лада 2105,1997,бензин,1.5,71.0,механика,задний,зеленый,27000.0,,,68000
2335,Honda N-WGN,2016,бензин,0.7,64.0,вариатор,передний,фиолетовый,94000.0,правый,,950000
2336,BMW X5,2019,дизель,3.0,400.0,АКПП,4WD,черный,71000.0,левый,,7599000
2337,Lexus NX200,2015,бензин,2.0,150.0,вариатор,4WD,черный,137000.0,левый,,2200000
2338,Fiat Linea,2008,бензин,1.4,120.0,механика,передний,бордовый,60000.0,левый,8.7,570000
2339,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,,,левый,,1277000
2340,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,,,левый,,1277000
2341,Volkswagen Tiguan,2019,дизель,2.0,150.0,робот,4WD,серебристый,150000.0,левый,,2400000
2342,Kia Sorento,2012,,2.4,,автомат,,черный,205349.0,левый,8.6,1378000
2343,Лада 2110,1999,бензин,1.5,70.0,механика,передний,голубой,29131.0,,7.6,500000
2344,Toyota Voxy,2016,бензин,1.8,99.0,вариатор,передний,белый,110000.0,правый,8.9,1630000
2345,BMW 5-Series,2008,дизель,2.0,177.0,АКПП,задний,серебристый,215000.0,левый,8.9,870000
2346,Honda Mobilio Spike,2003,бензин,1.5,110.0,вариатор,4WD,серебристый,171000.0,правый,8.5,350000
2347,Skoda Octavia,2017,бензин,1.8,180.0,робот,передний,бежевый,121000.0,левый,8.8,1650000
2348,Toyota Camry,2014,,2.5,,автомат,,черный,234094.0,левый,8.8,1448000
2349,Honda Freed Spike,2012,бензин,1.5,88.0,вариатор,передний,белый,57894.0,правый,,1124000
2350,Peugeot 4007,2008,бензин,2.4,170.0,вариатор,4WD,голубой,152373.0,левый,8.7,899900
2351,Peugeot 308,2012,бензин,1.6,120.0,АКПП,передний,белый,180639.0,левый,8.4,654900
2352,BMW X3,2020,дизель,3.0,249.0,АКПП,4WD,черный,55500.0,левый,,5100000
2353,Suzuki Jimny Wide,1998,бензин,1.3,85.0,АКПП,4WD,серый,130000.0,правый,7.8,349000
2354,Volkswagen Caddy,2007,бензин,1.6,102.0,механика,передний,серебристый,345000.0,левый,8.4,330000
2355,Volkswagen Multivan,2013,дизель,2.0,140.0,робот,передний,черный,198000.0,левый,8.8,2100000
2356,Volvo XC60,2011,бензин,2.0,203.0,робот,передний,коричневый,198700.0,левый,,960000
2357,Honda Vezel,2015,бензин,1.5,132.0,робот,передний,синий,89000.0,правый,,1670000
2358,Лада Гранта,2012,бензин,1.6,82.0,механика,передний,серебристый,260000.0,левый,8.1,215000
2359,Land Rover Range Rover Sport,2014,дизель,3.0,249.0,АКПП,4WD,,173000.0,левый,,2650000
2360,Renault Megane,2013,бензин,2.0,250.0,механика,передний,черный,160000.0,левый,8.3,1200000
2361,Kia Ceed,2008,бензин,2.0,143.0,АКПП,передний,голубой,224564.0,левый,8.8,570000
2362,Лада 2101,1986,бензин,1.3,64.0,механика,задний,бежевый,100000.0,левый,7.5,60000
2363,Audi RS Q8,2022,бензин,4.0,600.0,АКПП,4WD,серебристый,,левый,,24000000
2364,Audi Q5 Sportback,2022,дизель,2.0,204.0,автомат,4WD,белый,,левый,,8012640
2365,Volvo XC90,2022,бензин,2.0,249.0,АКПП,4WD,черный,,левый,8.9,10000000
2366,Nissan Primera,1998,бензин,1.6,99.0,механика,передний,синий,200000.0,левый,8.2,100000
2367,BMW 5-Series,2019,дизель,2.0,190.0,АКПП,4WD,белый,47350.0,левый,8.9,4690000
2368,Лада Ларгус,2019,бензин,1.6,106.0,механика,передний,белый,85826.0,левый,8.3,798000
2369,Hyundai Santa Fe,2022,бензин,2.5,180.0,АКПП,4WD,черный,3500.0,левый,8.7,4400000
2370,Toyota Probox,2017,бензин,1.5,109.0,вариатор,передний,серебристый,138000.0,правый,8.0,949000
2371,Лада Нива Легенд,2023,бензин,1.7,83.0,механика,4WD,белый,,левый,,920330
2372,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2373,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2374,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2375,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2376,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2377,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
2378,Volkswagen Polo,2019,бензин,1.6,110.0,АКПП,передний,,,левый,8.6,1100000
2379,Land Rover Range Rover Sport,2006,бензин,4.4,299.0,АКПП,4WD,серебристый,275000.0,левый,,1000000
2380,Dodge Challenger,2020,бензин,3.6,305.0,АКПП,задний,черный,22000.0,левый,8.8,3200000
2381,Toyota Land Cruiser,2007,дизель,4.5,235.0,АКПП,4WD,,,левый,,2200000
2382,Mercedes-Benz S-Class,2015,бензин,3.0,333.0,АКПП,4WD,,,левый,,2400000
2383,Volkswagen Tiguan,2012,бензин,2.0,170.0,механика,4WD,,182000.0,левый,,930000
2384,Hyundai Getz,2008,бензин,1.4,97.0,АКПП,передний,красный,,левый,8.3,425000
2385,Mercedes-Benz GLE Coupe,2015,бензин,3.0,333.0,АКПП,4WD,красный,,левый,,3400000
2386,Audi A7,2010,бензин,3.0,300.0,робот,4WD,белый,147000.0,левый,,1299000
2387,Kia Optima,2018,бензин,2.0,150.0,АКПП,передний,,116201.0,левый,,1895000
2388,Nissan Qashqai,2019,бензин,2.0,144.0,вариатор,передний,,112370.0,левый,8.6,1770000
2389,Nissan Qashqai,2019,бензин,2.0,144.0,вариатор,передний,,95959.0,левый,8.6,1770000
2390,Hyundai Palisade,2019,дизель,2.2,202.0,АКПП,4WD,белый,90000.0,левый,,4050000
2391,Lexus RX350,2023,бензин,2.4,275.0,АКПП,4WD,серебристый,144.0,левый,,9300000
2392,BMW X5,2017,дизель,3.0,313.0,АКПП,4WD,черный,108577.0,левый,,4795000
