,Название,Год,Топливо,Объем двигателя,Мощность,Коробка передач,Привод,Цвет,Пробег,Руль,Оценка Drom,Цена
97,BMW X4,2019,бензин,3.0,480.0,АКПП,4WD,белый,33000.0,левый,,6600000
98,BMW 5-Series,2014,бензин,2.0,184.0,АКПП,задний,белый,215000.0,левый,8.9,1700000
99,Hyundai Staria,2023,дизель,2.2,177.0,АКПП,4WD,белый,,левый,,6600000
100,Volkswagen Tiguan,2017,бензин,1.4,150.0,робот,передний,белый,155000.0,левый,,1870000
101,Kia Mohave,2022,дизель,3.0,249.0,АКПП,4WD,черный,,левый,8.8,5650000
102,Audi Q7,2019,бензин,3.0,333.0,АКПП,4WD,черный,60000.0,левый,,4550000
103,Rivian R1T,2022,электро,,760.0,АКПП,4WD,зеленый,,левый,,15990000
104,Mercedes-Benz GLS-Class,2022,бензин,3.0,362.0,АКПП,4WD,синий,4000.0,левый,,12600000
105,Toyota Land Cruiser Prado,2020,бензин,4.0,249.0,АКПП,4WD,черный,18000.0,левый,,6800000
106,Audi TT,2018,бензин,2.0,245.0,робот,4WD,серый,42000.0,левый,,4200000
107,Renault Samsung QM6,2018,дизель,2.0,177.0,автомат,4WD,белый,63925.0,левый,,2599999
108,Toyota Aqua,2018,бензин,1.5,74.0,вариатор,передний,черный,39990.0,правый,,1180000
109,Hyundai Palisade,2022,дизель,2.2,202.0,АКПП,передний,черный,12000.0,левый,,5500000
110,Hyundai Grand Starex,2020,дизель,2.5,175.0,автомат,4WD,белый,13825.0,левый,8.6,4550000
111,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,4WD,черный,42213.0,левый,8.6,3990000
112,Mitsubishi L200,2022,дизель,2.4,154.0,механика,4WD,черный,,левый,8.4,3480000
113,Mercedes-Benz S-Class,2022,бензин,4.0,503.0,АКПП,4WD,черный,18000.0,левый,,16890000
114,Tesla Model X,2022,электро,,670.0,автомат,4WD,белый,,левый,8.4,11450000
115,Lexus LX450d,2016,дизель,4.5,272.0,АКПП,4WD,черный,55000.0,левый,,7500000
116,BMW X7,2019,дизель,3.0,400.0,АКПП,4WD,синий,88500.0,левый,,7940000
117,Mercedes-Benz GLE Coupe,2022,дизель,2.9,330.0,АКПП,4WD,белый,1.0,левый,,10500000
118,Kia Carnival,2020,дизель,2.2,199.0,АКПП,передний,белый,20994.0,левый,8.6,4500000
119,Kia Carnival,2020,дизель,2.2,199.0,АКПП,передний,черный,20716.0,левый,8.6,4520000
120,Kia Carnival,2020,дизель,2.2,199.0,АКПП,передний,черный,25824.0,левый,8.6,4390000
121,Hyundai Palisade,2019,дизель,2.2,202.0,АКПП,4WD,белый,10561.0,левый,,4450000
122,Hyundai Staria,2023,дизель,2.2,177.0,АКПП,4WD,черный,,левый,,6600000
123,Kia Carnival,2020,дизель,2.2,199.0,АКПП,передний,белый,25382.0,левый,8.6,4450000
124,Toyota Vellfire,2018,бензин,3.5,301.0,АКПП,передний,черный,995.0,правый,,5650000
125,Hyundai Staria,2023,дизель,2.2,177.0,АКПП,4WD,белый,,левый,,6600000
126,Ford Escape,2020,бензин,1.5,181.0,АКПП,передний,бордовый,11600.0,левый,8.3,2150000
127,Hyundai Staria,2023,дизель,2.2,177.0,АКПП,4WD,черный,,левый,,6600000
128,Bentley Continental GT,2014,бензин,6.0,575.0,АКПП,4WD,синий,52200.0,левый,,5300000
129,Kia Carnival,2019,дизель,2.2,202.0,АКПП,передний,белый,59000.0,левый,8.6,3530000
